species,mean,min,max,std,median,p95,non_zero_fraction,non_zero_count,cumulative_coverage
H2-,7512041284.34666,1.3842308618349734e-64,43657828722265.58,347571410658.6041,2.949199414336947e-11,324445.59447191417,0.96925625,155081,99.99999999986287
O2+,5921004615.309787,2.4895240382348185e-95,15410516379887.668,178609312342.23462,9.211181275641817e-16,65942.31796980662,0.8107,129712,99.99999999991768
O1-,3076963708.8380537,6.249789740930274e-58,3338243137491.6113,54600902222.02232,0.00012184344988679999,88809252.1524478,0.997525,159604,99.99999999994617
S1+,3015384203.437717,1.0816750087099395e-34,4550747573940.248,64269608519.9409,0.0768093661332665,84346446.2350097,0.998675,159788,99.99999999997408
C1H4O2,1552581515.2793386,1e-155,22350577741083.77,125336793585.16203,6.179042465599553e-31,0.03038572169819191,0.49658125,79453,99.99999999998845
C1H1O1+,1090639991.8283885,6.291160231037203e-50,11058535113650.41,75823546943.12868,3.216223728088448e-08,17887.8553674531,0.9992,159872,99.99999999999855
C1H1-,146604550.87631652,4.036759524640224e-57,1376928234290.973,10065136550.896244,4.195417984465027e-12,3879.939646485592,0.9381375,150102,99.9999999999999
C1+,3057431.7334823594,9.770932688138623e-61,10944262954.578978,92094024.14414215,1.9430892387023177e-11,34812.77906280846,0.87789375,140463,99.99999999999993
C1-,2746075.7468333137,6.502468072989791e-48,17021545285.641735,131790968.70090751,8.32720523783996e-09,5959.646563574525,0.96539375,154463,99.99999999999994
C2H6O2,1063337.8070006028,1e-155,22119379020.402817,115191511.47539403,7.398982599532331e-53,8.583360246445512e-11,0.22310625,35697,99.99999999999997
N1-,177055.74232323148,3.2844847107587066e-30,602001240.4173402,6362276.334345904,1.649096837172861e-08,458.28100258420585,1.0,160000,99.99999999999997
C1N1+,76070.22441308922,9.009879086471272e-67,1038751346.0266856,6144010.3482486345,1.5627504878104552e-16,0.1950452166491519,0.810875,129740,99.99999999999997
N2O1+,46741.232130149576,9.434717616311586e-70,460585230.4621451,2903426.9472524356,2.0189267590665172e-20,0.0023084691468572,0.77279375,123647,99.99999999999997
H1O1+,28788.741488951422,1.1488112075638312e-76,194247623.87234712,1297199.880140439,1.7502853230761428e-14,1.5805586831985825,0.889475,142316,99.99999999999997
O1+,3510.9638412391746,4.5022614857901815e-62,8830978.731008409,94362.77121526287,2.885795558247336e-13,24.618963328982037,0.8588875,137422,99.99999999999997
C1H1+,316.23200479659,7.872282942352191e-62,863404.738941687,7956.000337759655,1.709121533890012e-14,2.601411559836838,0.8732875,139726,99.99999999999997
