temperature,pressure,group_index,point_index,comp_H,comp_O,comp_C,comp_N,comp_S,species,observed,predicted,rel_err%,log10P
2774.666822168178,1068.2749154239332,5.020409343719649e-21,2.707435038934525e-19,0.0002584327843442,0.9234839072518828,0.0047310408003534,0.0181671785714925,0.053359440591927,N2,0.01412187,0.014473898,2.4927914,3.0286830306771044
763.7721788106936,1.913376047571532e-07,8.266811656927703e-12,9.258829055759026e-11,3.87706255336531e-07,0.0001239623497095,0.0001023271029334,0.0146905519590767,0.9850827708820248,N2,0.014690423,0.017014576,15.820869,-6.718199667016348
767.5248869672737,0.1187678218901049,1.3383454277792205e-17,1.650626027594372e-16,0.0476188966818355,0.0001328960779783,0.0002777379211192,0.0064758483575321,0.9454946209615346,N2,0.01384181,0.012516849,9.5721655,-0.9253012080796382
1412.6230517185015,7.806568319210673e-10,3.747491145048578e-09,9.068928571017561e-08,1.864149153260768e-06,0.6671555512837938,0.0005323588419035,0.0099155066595535,0.3223947190655959,N2,0.014459985,0.008878293,38.600952,-9.10753983520789
1666.3696146119387,8.085278976078646e-06,4.268260157406619e-13,1.1751942966726222e-11,0.4206107952678912,0.0002702536527649,2.238543554004815e-06,0.0144541438459641,0.5646625686898257,N2,0.013875102,0.011123387,19.832031,-5.092304990515615
2564.3952111372723,3.99288627715809e-09,1.3300639803770163e-09,5.7192751156211713e-08,0.0014403251737364,7.98859123564145e-05,1.890208286155091e-06,0.0276281518733856,0.9708497468322352,N2,0.013520401,0.013929842,3.0283206,-8.398713058928136
2586.305725333792,9.978408136667298e-08,5.3677606019590774e-11,2.4548558486292847e-09,0.0023296271349754,0.968377199165518,1.616192267399581e-07,0.0292911656626038,1.846417675703724e-06,N2,0.014685412,0.01493391,1.6921438,-7.000938736528582
2824.100281074929,65.81051982211414,8.887081661511334e-20,4.443540830755666e-18,0.6644330960156016,2.7715199679939773e-05,1.8392701468922012e-07,0.0135506056694403,0.3219883991882633,N2,0.014874357,0.01574619,5.861312,1.8182953212054684
1040.7030964437529,3.341711443818518e-05,9.783886648673208e-16,1.5593069346322928e-14,0.0002642550898647,2.432628305518036e-06,0.5587499515305686,0.4409783229250605,5.037826200643152e-06,N2,0.014221659,0.18846045,1225.165,-4.476031054073923
1130.571246348498,5.13031589003802e-06,4.868073447786182e-13,8.88423404220978e-12,0.7794117703451858,0.2097609857344815,5.47366093377492e-09,0.0108272345785877,3.8680838392929664e-09,N2,0.013702651,0.010250454,25.19364,-5.289855893157829
